Duration,Pulse,Maxpulse,Calories,Date
60,110,130,409.1,08/07/2022                                     
60,117,145,479.0,08/07/2022
60,103,135,340.0,08/07/2022
450,109,175,282.4,08/07/2022
45,117,148,406.0,08/07/2022
60,102,127,300.0,08/07/2022
60,110,136,374.0,08/07/2022
45,104,134,253.3,08/07/2022
30,109,133,195.1,08/07/2022
60,98,124,269.0,08/07/2022
60,103,147,329.3,08/07/2022
60,100,120,250.7,08/07/2022
60,106,128,345.3,08/07/2022
60,104,132,379.3,08/07/2022
60,98,123,275.0,08/07/2022
60,98,120,215.2,08/07/2022
60,100,120,300.0,08/07/2022
45,90,112,,08/07/2022
60,103,123,323.0,08/07/2022
45,97,125,243.0,08/07/2022
60,108,131,364.2,08/07/2022
45,100,119,282.0,08/07/2022
60,130,101,300.0,08/07/2022
45,105,132,246.0,08/07/2022
60,102,126,334.5,08/07/2022
60,100,120,250.0,08/07/2022
60,92,118,241.0,08/07/2022
60,103,132,,08/07/2022
60,100,132,280.0,08/07/2022
60,102,129,380.3,08/07/2022
60,92,115,243.0,08/07/2022
45,90,112,180.1,08/07/2022
60,101,124,299.0,08/07/2022
60,93,113,223.0,08/07/2022
60,107,136,361.0,08/07/2022
60,114,140,415.0,08/07/2022
60,102,127,300.0,08/07/2022
60,100,120,300.0,08/07/2022
60,100,120,300.0,08/07/2022
45,104,129,266.0,08/07/2022
45,90,112,180.1,08/07/2022
60,98,126,286.0,08/07/2022
60,100,122,329.4,08/07/2022
60,111,138,400.0,08/07/2022
60,111,131,397.0,08/07/2022
60,99,119,273.0,08/07/2022
60,109,153,387.6,08/07/2022
45,111,136,300.0,08/07/2022
45,108,129,298.0,08/07/2022
60,111,139,397.6,08/07/2022
60,107,136,380.2,08/07/2022
80,123,146,643.1,08/07/2022
60,106,130,263.0,08/07/2022
60,118,151,486.0,08/07/2022
30,136,175,238.0,08/07/2022
60,121,146,450.7,08/07/2022
60,118,121,413.0,08/07/2022
45,115,144,305.0,08/07/2022
20,153,172,226.4,08/07/2022
45,123,152,321.0,08/07/2022
210,108,160,1376,08/07/2022
160,110,137,1034,08/07/2022
160,109,135,853.,08/07/2022
45,118,141,341.0,08/07/2022
20,110,130,131.4,08/07/2022
180,90,130,800.4,08/07/2022
150,105,135,873.,08/07/2022
150,107,130,816.,08/07/2022
20,106,136,110.4,08/07/2022
300,108,143,1500,08/07/2022
150,97,129,1115.,08/07/2022
60,109,153,387.6,08/07/2022
90,100,127,700.0,08/07/2022
150,97,127,953.2,08/07/2022
45,114,146,304.0,08/07/2022
90,98,125,563.2,08/07/2022
45,105,134,251.0,08/07/2022
45,110,141,300.0,08/07/2022
120,100,130,500.,08/07/2022
270,100,131,1729,08/07/2022
30,159,182,319.2,08/07/2022
45,149,169,344.0,08/07/2022
30,103,139,151.1,08/07/2022
120,100,130,500.,08/07/2022
45,100,120,225.3,08/07/2022
30,151,170,300.0,08/07/2022
45,102,136,234.0,08/07/2022
120,100,157,1000,08/07/2022
45,129,103,242.0,08/07/2022
20,83,107,50.3,08/07/2022
180,101,127,600.,08/07/2022
45,107,137,,08/07/2022
30,90,107,105.3,2022/08/09
15,80,100,50.5,
20,150,171,127.,2022/08/09
20,151,168,229.,2022/08/09
30,95,128,128.2,2022/08/09
25,152,168,244.,2022/08/09
30,109,131,188.,2022/08/09
90,93,124,604.1,2022/08/09
20,95,112,77.7,
90,90,110,500.0,2022/08/09
90,90,100,500.0,2022/08/09
90,90,100,500.4,2022/08/09
30,92,108,92.7,
30,93,128,124.0,2022/08/09
180,90,120,800.,2022/08/09
30,90,120,86.2,
90,90,120,500.3,2022/08/09
210,137,184,186,2022/08/09
60,102,124,325.,2022/08/09
45,107,124,275.,2022/08/09
15,124,139,124.,2022/08/09
45,100,120,225.,2022/08/09
60,108,131,367.,2022/08/09
60,108,151,351.,2022/08/09
60,116,141,443.,2022/08/09
60,97,122,277.4,2022/08/09
60,105,125,,
60,103,124,332.,2022/08/09
30,112,137,193.,2022/08/09
45,100,120,100.,2022/08/09
60,119,169,336.,2022/08/09
60,107,127,344.,2022/08/09
60,111,151,368.,2022/08/09
60,98,122,271.0,2022/08/09
60,97,124,275.3,2022/08/09
60,109,127,382.,2022/08/09
90,99,125,466.4,2022/08/09
60,114,151,384.,2022/08/09
60,104,134,342.,2022/08/09
60,107,138,357.,2022/08/09
60,103,133,335.,2022/08/09
60,106,132,327.,2022/08/09
60,103,136,339.,2022/08/09
20,136,156,189.,2022/08/09
45,117,143,317.,2022/08/09
45,115,137,318.,2022/08/09
45,113,138,308.,2022/08/09
20,141,162,222.,2022/08/09
60,108,135,390.0,
60,97,127,,
45,100,120,250.4,
45,122,149,335.4,
60,136,170,470.2,
45,106,126,270.8,
60,107,136,400.0,
60,112,146,361.9,
30,103,127,185.0,
60,110,150,409.4,
60,106,134,343.0,
60,109,129,353.2,
60,109,138,374.0,
30,150,167,275.8,
60,105,128,328.0,
60,111,151,368.5,
60,97,131,270.4,
60,100,120,270.4,
60,114,150,382.8,
30,80,120,240.9,
30,85,120,250.4,
45,90,130,260.4,
45,95,130,270.0,
45,100,140,280.9,
60,105,140,290.8,
60,110,145,300.0,
60,115,145,310.2,
75,120,150,320.4,
75,125,150,330.4,
